caseid,market,region,timezone,state,division,qs1,qs2,qs3,q1,q2,q3,q4,q5,q6,q6a_1,q6b_a,q6b_b,q6b_c,q6b_d,q6b_e,q6b_f,q6b_g,q6b_h,q6b_i,q6b_j,q6c_a,q6c_b,q6c_c,q6c_d,q7,q801,q901,q1001,q11,q12,q13,q14a,q14b,q14c,q14d,q15a,q15b,q16,q17,q18,q19,q20,q21,q22,q23a,q23b,q23c,q24a,q24b,q24c,q24d,q25a,q25b,q25c,q25d,q26,q27,q28,q29,q3001,q31,q32a,q32b,q32c,q32d,q32e,q33,q34,q3501,q36,q3701,q38,q39,q40,q41,q4201,q43,q44a,q44b,q44c,q44d,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54,bmi,q55,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q5701,q58,q59,q60a01,d101,d2,d3
26,mid_1,Mid West,C,WI,3,1,Female,Married,9:00 AM – 9:14 AM,11:00 PM – 11:14 PM,10,9:00 AM – 9:14 AM,11:00 PM – 11:14 PM,11,A few nights a month, Never,Every night or almost every night, Never, Never, Never,Rarely, Never, Never, Never, Never,Yes,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Talk to your doctor,No,More than 5 times,Less than 15 minutes, Never,Rarely, Never, Never, Never,Don't Know, ,No, , , ,Don't Know,No impact,No,No,No,No,No,No,No,No,No,No,No,None,No problems,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a week,Wake up on own,Don't Know,Do not work, , ,None,No,Do not watch TV/these programs before bed,Very concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Morning person,02,00,Don’t drive/Don’t have a license, , , , ,63,142,25.2229780801209,Not at all,No,Yes,No,No,No,No,No,No,Retired, , , ,1,077,Suburban
27,west_2,West,M*,AZ,8,1,Male,Divorced,12:01 AM - 4:59 AM,8:00 PM – 8:59 PM,5,12:01 AM - 4:59 AM,9:00 PM – 9:14 PM,5,A few nights a month,Rarely,Every night or almost every night,Every night or almost every night, Never,Every night or almost every night,Rarely, Never,A few nights a month, Never,Every night or almost every night,Yes,No,Yes,Yes,30 up to 45 minutes,Alone,Alone,Talk to your doctor,No,1 time, ,Rarely,Every night or almost every night,A few nights a month,A few nights a month,Rarely,Rarely,Refused,Yes,Slightly louder than breathing,Don't Know,Don't Know,Don't Know, , , , , , , , , , , , , , ,A few nights a week,No,Pain/Discomfort,Somewhat difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a month?,Wake up on own,5,You went to bed too late,None,None,None,No,Or does it have no impact on your sleep?,Not at all concerned,Mostly disagree,Mostly agree,Don't Know,Mostly disagree,Morning person,04,00,Never,No, ,No, ,65,135,22.5266272189349,Some days,Yes,Yes,No,No,No,No,Yes,Yes,Working full-time,Regular day shifts,050,7,1,058,Urban
28,mid_1,Mid West,C,MN,4,1,Male,Married,12:01 AM - 4:59 AM,9:30 PM – 9:44 PM,6,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,6,A few nights a month,A few nights a month,Every night or almost every night,Rarely, Never,Rarely,A few nights a month, Never,Every night or almost every night,A few nights a month,A few nights a month,No,No,Yes,No,10 up to 15 minutes,With your significant other,With your significant other,Assume it will go away in time,Yes,None, , Never,A few nights a month, Never,A few nights a week, Never,Rarely, ,Yes,As loud as talking,1 to 2 nights a week,Yes,Never,No impact,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,None,Little problems,A few nights a week,No,Someone else,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a month?,Wake up on own,7,You needed to take care of others,None,None,1 to 2 days,No,Or does it have no impact on your sleep?,Not really concerned,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Morning person,14,06,Less than once a month,No, ,Yes,Less often or never?,70,188,27.0489795918367,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,055,9,1,040,Rural
29,south_3,South,E,NC,5,1,Male,Married,6:00 AM – 6:14 AM,11:30 PM – 11:44 PM,6,6:00 AM – 6:14 AM,11:15 PM – 11:29 PM,6,A few nights a week, Never,Every night or almost every night,Every night or almost every night,A few nights a week,A few nights a week,A few nights a month, Never,A few nights a week,A few nights a month, Never,Yes,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Use an over-the-counter sleep aid,No,None, ,A few nights a month,Rarely,Rarely,A few nights a month,Rarely,Rarely,Worse at night,Yes,As loud as talking,3 to 4 nights a week,Don't Know,Never, ,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,030,Little problems,Every night or almost every night,No,Noise,Not very difficult,A few nights a week, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Light,6,You were too sleepy when you woke up,None,None,None,Yes,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Morning person,00,03,1 to 2 times a month,No, ,Yes,Every day or almost every day,75,270,33.84,Some days,No,No,No,No,No,No,No,No,Retired, , , ,1,064,Rural
30,mid_1,Mid West,C,IL,3,1,Male,Married,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,7,8:00 AM – 8:14 AM,10:00 PM – 10:14 PM,8,Rarely,A few nights a month,Every night or almost every night, Never, Never,A few nights a week,A few nights a month, Never,Every night or almost every night, Never, Never,Yes,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, ,Rarely,A few nights a week,A few nights a week,Rarely,A few nights a week, Never,Worse at night,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,Every night or almost every night,No impact,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,030,No problems,Every night or almost every night,No,Someone else,Very difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a week,Wake up on own,6,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Completely disagree,Mostly agree,Completely agree,Completely agree,Morning person,00,00,1 to 2 times a month,No, ,Yes,1 to 2 days a week,73,195,25.7975229874273,Not at all,No,No,No,Yes,No,No,No,Yes,Retired, , , ,2,048,Suburban
31,south_2,South,E,NC,5,1,Male,Married,5:00 AM – 5:14 AM,11:45 PM – 11:59 PM,6,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,Every night or almost every night, Never,Every night or almost every night, Never, Never,A few nights a month,A few nights a week, Never,Every night or almost every night,A few nights a month,Rarely,Yes,No,No,Yes,15 up to 30 minutes,With your significant other,With your significant other,Get recommendations from family/friends,No,None, ,A few nights a week,Rarely,A few nights a month,Every night or almost every night,Rarely,Rarely,Worse at night,Yes,Slightly louder than breathing,Never/Less often,No,1 to 2 nights a week, ,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,None,Little problems,Every night or almost every night,No,Noise,Somewhat difficult, Never, Never,A few nights a month, Never, Never,Never?,Never,Wake up on own,6,You needed to take care of others,None,None,1 to 2 days,Yes,Or does it have no impact on your sleep?,Very concerned,Completely disagree,Completely agree,Completely disagree,Completely agree,Morning person,02,01,Less than once a month,No, ,No, ,72,225,30.5989583333333,Some days,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,050,9,2,036,Suburban
32,west_1,West,M,NM,8,1,Female,Married,12:01 AM - 4:59 AM,9:00 PM – 9:14 PM,6,12:01 AM - 4:59 AM,9:00 PM – 9:14 PM,6,Rarely, Never,Every night or almost every night,Rarely, Never,Rarely,A few nights a month, Never,Rarely,Rarely,Every night or almost every night,Yes,No,Yes,Yes,1 hour or more?,With your significant other,With your significant other,Talk to your doctor,No,None, ,A few nights a month,Rarely,A few nights a month,Every night or almost every night,Every night or almost every night,Every night or almost every night,Better at night,Yes,Slightly louder than breathing,3 to 4 nights a week,No,Never,No impact,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,060,No problems,Every night or almost every night,Yes,Noise,Not very difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Wake up on own,4,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Completely agree,Mostly agree,Mostly agree,Morning person,02,00,Never,No, ,No, ,62,156,28.6108220603538,Every day,No,Yes,No,No,No,No,No,Yes,Retired, , , ,1,060,Urban
33,west_1,West,P,WA,9,1,Female,Married,6:00 AM – 6:14 AM,10:00 PM – 10:14 PM,7,10:00 AM – 10:59 AM,11:45 PM – 11:59 PM,10,Every night or almost every night,Rarely,Every night or almost every night,Rarely, Never,A few nights a month,A few nights a week, Never,Every night or almost every night,A few nights a week,Every night or almost every night,No,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Use an over-the-counter sleep aid,No,None, ,Rarely,Every night or almost every night,A few nights a week,A few nights a week,Rarely,A few nights a month,Don't Know,Yes,Slightly louder than breathing,Don't Know,No,Never, ,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,001,Little problems,A few nights a week,Yes,Noise,Somewhat difficult,A few nights a week,Rarely,A few nights a week, Never, Never,1 to 2 nights a week,Every night or almost every night,Alarm clock,8,Traffic or transportation problems,None,1 to 2 days,1 to 2 days,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly disagree,Completely agree,Completely disagree,Mostly agree,Morning person,03,06,1 to 2 times a month,No, ,No, ,64,128,22.03125,Every day,No,No,No,No,Yes,No,No,No,Working full-time,Regular day shifts,040,6,1,038,Suburban
34,mid_2,Mid West,C,NE,4,1,Male,Married,6:30 AM – 6:44 AM,11:00 PM – 11:14 PM,6,8:00 AM – 8:14 AM,12:00 AM (Midnight),7.5,Rarely, Never,Every night or almost every night, Never, Never,A few nights a week, Never,A few nights a month,Every night or almost every night, Never,A few nights a week,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Use an over-the-counter sleep aid,No,None, ,Rarely,A few nights a week,A few nights a month,A few nights a month,A few nights a week,A few nights a week,Worse at night,Yes,Louder than talking,3 to 4 nights a week,Yes,1 to 2 nights a month?, ,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,060,Little problems,Rarely,No,The need to go to the bathroom,Somewhat difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,3 to 4 nights a week,Wake up on own,7.5,You needed to take care of others,None,1 to 2 days,1 to 2 days,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Completely agree,Mostly agree,Mostly agree,Mostly agree,Evening person,01,00,3 or more times a week,No, ,Yes,1 to 2 days a month,72,195,26.5190972222222,Not at all,No,Yes,No,Yes,No,No,No,No,Working full-time,Regular day shifts,042,3,1,055,Rural
35,south_3,South,C,MS,6,1,Female,Married,5:45 AM – 5:59 AM,11:15 PM – 11:29 PM,6,7:45 AM – 7:59 AM,11:30 PM – 11:44 PM,7,A few nights a week, Never, Never, Never,A few nights a week,Every night or almost every night,A few nights a month,Rarely,Every night or almost every night,Rarely,Every night or almost every night,Yes,No,Yes,Yes,1 hour or more?,With your significant other,With your significant other,Use an over-the-counter sleep aid,Yes,1 time, ,Every night or almost every night,Every night or almost every night, Never,Every night or almost every night,Every night or almost every night,Every night or almost every night,Worse at night,Yes,Slightly louder than breathing,Every night or almost every night,No,Never, ,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,060,Moderate problems,Rarely,No,Nightmares,Not very difficult,Rarely, Never,Rarely, Never, Never,Every night or almost every night,Every night or almost every night,Alarm clock,7,You slept too late,None,Don't Know,3 to 5 days,Yes,Or does it have no impact on your sleep?,Very concerned,Completely agree,Completely agree,Don't Know,Completely agree,Evening person,04,00,3 or more times a week,No, ,Yes,Less often or never?,67,175,27.4838494096681,Every day,No,Yes,No,No,No,No,No,No,Working full-time,Regular day shifts,050,1,1,041,Rural
36,ne_2,Northeast,E,PA,2,1,Male,Married,Don’t know,10:00 PM – 10:14 PM,Don't Know,9:00 AM – 9:14 AM,11:00 PM – 11:14 PM,11,Never, Never,Rarely,Every night or almost every night, Never,Every night or almost every night,A few nights a week, Never,A few nights a week, Never,Every night or almost every night,Yes,No,Yes,Yes,10 up to 15 minutes,Alone,With your significant other,Nothing,No,4 or 5 times,30 to less than 45 minutes, Never,Every night or almost every night, Never,Every night or almost every night, Never, Never, ,No, , , ,Never, ,No,No,No,No,No,No,Not sure,No,Don't Know,No,No,None,No problems,Every night or almost every night,No,Nothing awakens me at night,Not at all difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,3 to 4 nights a week,Alarm clock,10,You were too sleepy when you woke up,None,None,None,Yes,Or does it have no impact on your sleep?, Somewhat concerned,Completely disagree,Completely agree,Mostly agree,Completely agree,Evening person,02,00,1 to 2 times a week,No, ,Yes,1 to 2 days a week,70,153,22.0132653061224,Not at all,No,Yes,No,No,Yes,No,No,No,Working full-time,Rotating shifts,Don't Know,8,1,063,Rural
37,mid_3,Mid West,C,MN,4,1,Female,Married,5:00 AM – 5:14 AM,10:00 PM – 10:14 PM,7,7:30 AM – 7:44 AM,10:30 PM – 10:44 PM,8,Rarely, Never,Every night or almost every night,A few nights a month,Rarely,A few nights a week, Never,Rarely,Every night or almost every night,Rarely,Rarely,Yes,No,Yes,Yes,Less than 5 minutes,Alone,Alone,Talk to your doctor,No,1 time, ,A few nights a month,Rarely,A few nights a month,A few nights a week,Rarely,Rarely,Better at night,Yes,Slightly louder than breathing,1 to 2 nights a month?,Yes,Never,No impact,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,None,No problems,Every night or almost every night,No,Someone else,Not very difficult, Never, Never,Rarely, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Alarm clock,8,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Morning person,03,01,Never,No, ,No, ,71,155,21.6772465780599,Not at all,No,Yes,No,No,No,No,No,Yes,Working full-time,Regular day shifts,040,3,1,056,Suburban
38,south_1,South,E,VA,5,1,Female,Married,6:15 AM – 6:29 AM,10:00 PM – 10:14 PM,3,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,6,Rarely,Every night or almost every night,Every night or almost every night, Never,A few nights a month,Every night or almost every night,Refused, Never,Every night or almost every night,A few nights a month,Every night or almost every night,Yes,Yes,No,No,15 up to 30 minutes,With your significant other,With your significant other,Self-treat it,No,None, ,A few nights a month,Every night or almost every night,A few nights a month, Never, Never,Rarely, ,No, , , ,Never,No impact,No,No,No,No,No,No,Yes,No,No,No,No,None,No problems,A few nights a week,No,Someone else,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Bed partner,8,Do not work, , ,None,Refused,Causes you to have disturbed or restless sleep, Somewhat concerned,Completely disagree,Mostly agree,Mostly disagree,Completely agree,Morning person,01,01,Never,No, ,No, ,63,98,17.4074074074074,Not at all,No,No,No,No,No,Yes,No,No,A homemaker, , , ,3,035,Urban
39,ne_3,Northeast,E,MA,1,1,Male,Married,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,7,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,7,A few nights a week, Never,Every night or almost every night,Every night or almost every night, Never,A few nights a month,A few nights a month, Never,Every night or almost every night, Never, Never,No,Yes,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Talk to your doctor,No,1 time, , Never,A few nights a month,A few nights a month,Rarely, Never, Never, ,Yes,As loud as talking,1 to 2 nights a week,Yes,Never,No impact,No,No,No,No,Not sure,Yes,No,No,No,No,No,None,No problems,Every night or almost every night,Yes,Nothing awakens me at night,Not at all difficult, Never,Every night or almost every night, Never, Never, Never,Never?,1 to 2 nights a week,Wake up on own,6,Do not work, , ,None,Yes,Or does it have no impact on your sleep?,Very concerned,Completely disagree,Completely agree,Completely disagree,Mostly agree,Morning person,03,05,Less than once a month,No, ,Yes,Less often or never?,68,180,27.4437716262976,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,Retired, , , ,1,069,Urban
40,south_1,South,E,VA,5,1,Female,Married,8:00 AM – 8:14 AM,12:00 AM (Midnight),6,8:00 AM – 8:14 AM,12:00 AM (Midnight),6,Every night or almost every night, Never,Every night or almost every night, Never, Never,A few nights a week,A few nights a week, Never,A few nights a month, Never, Never,Yes,No,Yes,Yes,45 minutes up to 1 hour,Alone,With your significant other,26,Yes,2 or 3 times,45 minutes to less than 1 hour,A few nights a week,Rarely,A few nights a week, Never, Never,Every night or almost every night, ,Yes,Slightly louder than breathing,Every night or almost every night,Yes,Every night or almost every night, ,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,None,No problems,Every night or almost every night,Yes,Noise,Somewhat difficult,A few nights a month, Never,A few nights a week, Never, Never,3 to 4 nights a week,3 to 4 nights a week,Wake up on own,6,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly disagree,Mostly agree,Mostly agree,Mostly disagree,Evening person,04,12,Less than once a month,No, ,No, ,72,240,32.6388888888889,Not at all,No,Yes,No,No,Yes,No,No,Yes,Retired, , , ,2,062,Suburban
